Member ID,Company Name,Contact Name,Industry,Segment Type,Location,Services Offered,Membership Start Date,Membership Status,Last Event Attendance,Last Payment Date,Payment Behavior,Annual Fees (USD),Member Risk of Leaving,Member Tenure (Years),Event Participation Score (0-100),Overall Satisfaction Score (0-10),Complaints Logged,Email,Phone
M001,Company_13,Member_19,Machinery,B2B Supplier,Hanoi,"Research, Supply Chain",2015-05-04,Pending,2024-01-20,2023-09-29,On Time,790,Low,3.7,55,0,2,info1@company1.com,+65-9077-6402
M002,Company_2,Member_9,Electronics,Wholesaler,Kuala Lumpur,"Logistics, Consulting",2015-03-27,Active,2023-11-07,2024-07-29,Missed,4294,High,1.1,88,3,0,info2@company2.com,+65-7594-4146
M003,Company_12,Member_20,Plastics,B2B Supplier,Bangkok,"Research, Logistics",2015-05-31,Active,2024-03-21,2024-02-07,On Time,2879,High,6.5,15,10,5,info3@company3.com,+65-6492-8999
M004,Company_20,Member_28,Steel,B2B Supplier,Hanoi,"Logistics, Design",2023-03-22,Suspended,2024-04-10,2024-06-07,On Time,1642,Low,7.1,39,10,4,info4@company4.com,+65-9547-1650
M005,Company_4,Member_15,Steel,OEM Manufacturer,Johor Bahru,"Export, Design",2020-11-12,Suspended,2022-11-29,2023-05-13,On Time,1328,Medium,6.2,57,5,3,info5@company5.com,+65-8894-2566
M006,Company_15,Member_5,Steel,OEM Manufacturer,Johor Bahru,"Logistics, Export",2016-04-24,Suspended,2021-06-09,2023-03-31,Missed,3249,High,3.4,13,6,0,info6@company6.com,+65-8962-7214
M007,Company_12,Member_17,Steel,Retailer,Hanoi,"Consulting, Supply Chain",2019-05-04,Suspended,2021-03-11,2024-08-20,Missed,4346,Medium,4.4,29,9,3,info7@company7.com,+65-8702-6773
M008,Company_8,Member_29,Textiles,Wholesaler,Manila,"Logistics, Design",2021-03-25,Inactive,2023-04-24,2023-09-02,Late,2749,Critical,1.6,9,8,4,info8@company8.com,+65-9444-4546
M009,Company_2,Member_11,Machinery,OEM Manufacturer,Jakarta,"Research, Manufacturing",2015-04-27,Pending,2020-04-24,2023-11-18,On Time,4661,Low,6.9,51,0,5,info9@company9.com,+65-9460-8882
M010,Company_19,Member_10,Plastics,Wholesaler,Manila,"Export, Consulting",2023-10-08,Pending,2024-03-15,2023-04-10,Late,874,High,8.6,14,2,3,info10@company10.com,+65-8540-4243
M011,Company_3,Member_23,Machinery,Distributor,Singapore,"Manufacturing, Consulting",2020-07-27,Pending,2024-06-09,2024-08-15,Missed,3013,Medium,5.9,13,5,3,info11@company11.com,+65-7339-1554
M012,Company_2,Member_12,Textiles,OEM Manufacturer,Jakarta,"Export, Research",2015-11-20,Pending,2020-08-19,2023-09-17,Missed,3318,Medium,6.6,47,3,4,info12@company12.com,+65-6538-2151
M013,Company_21,Member_12,Electronics,OEM Manufacturer,Johor Bahru,"Logistics, Export",2019-11-24,Active,2024-04-02,2024-03-27,Missed,1341,High,3.5,27,8,1,info13@company13.com,+65-6574-2911
M014,Company_1,Member_10,Plastics,Retailer,Kuala Lumpur,"Design, Logistics",2021-09-12,Pending,2023-08-01,2023-11-16,Missed,3510,Medium,9.9,0,5,3,info14@company14.com,+65-6218-4710
M015,Company_4,Member_12,Steel,B2B Supplier,Bangkok,"Design, Export",2016-12-07,Active,2021-01-29,2023-04-01,Missed,2564,Medium,3.3,41,1,3,info15@company15.com,+65-9604-5705
M016,Company_7,Member_13,Food Processing,Distributor,Hanoi,"Manufacturing, Research",2018-11-01,Pending,2021-02-21,2023-03-23,Missed,1776,Low,1.9,11,5,3,info16@company16.com,+65-7566-5814
M017,Company_3,Member_14,Plastics,Consulting Firm,Jakarta,"Consulting, Design",2016-11-01,Pending,2023-05-01,2023-11-12,On Time,597,Critical,8.5,10,10,3,info17@company17.com,+65-7293-6783
M018,Company_3,Member_22,Textiles,Consulting Firm,Kuala Lumpur,"Supply Chain, Research",2019-05-04,Inactive,2022-06-28,2023-02-25,On Time,724,Medium,5.9,24,3,4,info18@company18.com,+65-8206-4901
M019,Company_10,Member_8,Textiles,Distributor,Hanoi,"Export, Consulting",2015-07-22,Suspended,2024-03-04,2024-03-21,On Time,2794,High,4.4,81,5,4,info19@company19.com,+65-8948-2693
M020,Company_14,Member_4,Food Processing,OEM Manufacturer,Singapore,"Supply Chain, Export",2022-12-25,Active,2024-10-05,2023-05-10,Late,4459,High,3.5,15,4,0,info20@company20.com,+65-9681-8289
M021,Company_11,Member_6,Electronics,Wholesaler,Johor Bahru,"Supply Chain, Consulting",2021-09-08,Inactive,2022-06-26,2024-07-04,On Time,2739,Low,7.2,48,0,0,info21@company21.com,+65-6247-6079
M022,Company_21,Member_5,Plastics,Wholesaler,Hanoi,"Export, Consulting",2022-03-28,Pending,2020-01-26,2024-02-09,Late,3797,High,4.6,41,1,1,info22@company22.com,+65-7962-9257
M023,Company_6,Member_10,Food Processing,Consulting Firm,Johor Bahru,"Consulting, Logistics",2020-01-21,Inactive,2024-06-13,2024-02-08,On Time,3658,Critical,4.8,41,4,3,info23@company23.com,+65-7566-9340
M024,Company_20,Member_25,Electronics,OEM Manufacturer,Singapore,"Research, Manufacturing",2016-04-14,Pending,2023-09-12,2024-02-10,Missed,3176,Low,3.6,71,7,2,info24@company24.com,+65-8018-3005
M025,Company_9,Member_9,Textiles,Wholesaler,Manila,"Supply Chain, Manufacturing",2018-03-08,Inactive,2020-10-29,2024-05-10,Late,3849,Medium,3.2,87,3,4,info25@company25.com,+65-8535-3688
M026,Company_7,Member_11,Electronics,Wholesaler,Kuala Lumpur,"Manufacturing, Design",2017-05-21,Inactive,2023-08-19,2023-04-28,Late,670,Critical,3.1,99,6,4,info26@company26.com,+65-8251-5699
M027,Company_6,Member_13,Food Processing,Consulting Firm,Johor Bahru,"Consulting, Design",2017-07-07,Suspended,2023-03-06,2023-04-03,On Time,2582,Medium,6.5,91,1,4,info27@company27.com,+65-7435-3633
M028,Company_30,Member_9,Food Processing,Consulting Firm,Bangkok,"Export, Research",2021-05-29,Suspended,2022-06-09,2024-07-10,On Time,3614,High,2.1,27,2,0,info28@company28.com,+65-7370-2815
M029,Company_8,Member_24,Food Processing,B2B Supplier,Jakarta,"Research, Logistics",2017-04-27,Suspended,2020-04-29,2023-02-17,Late,2928,Low,7.9,29,5,0,info29@company29.com,+65-9888-2597
M030,Company_11,Member_26,Textiles,Consulting Firm,Johor Bahru,"Supply Chain, Research",2019-04-13,Suspended,2020-05-21,2023-01-01,Late,2850,Critical,1.3,97,6,5,info30@company30.com,+65-9576-6243
M031,Company_27,Member_1,Textiles,OEM Manufacturer,Kuala Lumpur,"Manufacturing, Research",2022-09-14,Inactive,2023-06-22,2024-06-27,On Time,1184,Low,4.8,49,5,2,info31@company31.com,+65-7000-6219
M032,Company_4,Member_4,Plastics,Wholesaler,Johor Bahru,"Export, Research",2019-07-17,Suspended,2020-03-22,2024-02-11,Late,2726,Critical,4.3,9,0,4,info32@company32.com,+65-6396-9604
